time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637937	0.736602	4.6478	1.13583	0.0116195	radar	16.5972	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03645	0.613016	4.76427	0.0227425	-0.0902578	lidar	5.14534	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24032	0.512249	4.88531	0.0159354	-0.0537918	radar	2.42324	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.5406	0.562446	4.91815	0.0646547	-0.0256599	lidar	1.20766	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78502	0.562959	5.29144	0.0859236	0.115038	radar	1.94769	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08618	0.60359	5.32547	0.0976274	0.134678	lidar	0.781848	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30816	0.643021	5.2256	0.132828	0.159437	radar	1.7282	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58571	0.673997	5.25065	0.126745	0.11885	lidar	0.284891	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.85907	0.662496	5.28526	0.0675258	-0.0986118	radar	0.335873	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09879	0.668249	5.26277	0.0534425	-0.137115	lidar	0.472828	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39073	0.560546	5.32224	-0.114385	-0.644878	radar	2.3267	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69742	0.451011	5.38876	-0.246106	-0.931265	lidar	3.43366	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97762	0.541395	5.39883	-0.0907741	-0.348254	radar	3.80751	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25525	0.535052	5.40429	-0.0880361	-0.29647	lidar	0.27972	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5169	0.569379	5.3629	-0.049423	-0.176988	radar	1.27193	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7118	0.67704	5.24253	0.0534571	0.0578221	lidar	10.3153	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96603	0.67321	5.20372	0.0394757	0.0244847	radar	2.11135	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27095	0.667633	5.25978	0.0260214	-0.00154312	lidar	3.27163	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52942	0.674785	5.27315	0.0276819	0.00156765	radar	1.4658	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82638	0.688345	5.31172	0.0310436	0.0078814	lidar	2.02366	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07277	0.6118	5.26772	-0.0281135	-0.0892315	radar	4.08972	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33226	0.726101	5.25504	0.0479772	0.0352205	lidar	3.4191	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58461	0.758331	5.22668	0.0617548	0.0530207	radar	0.70471	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83658	0.754474	5.21826	0.0524835	0.0362001	lidar	0.260617	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.084	0.737703	5.16559	0.0359995	0.0114914	radar	3.86701	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
